"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
Starlink-3046 ,Starlink-3046 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3047 ,Starlink-3047 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3048 ,Starlink-3048 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3049 ,Starlink-3049 ,USA,Commercial,Communications,352,2021-11-13
Starlink-3050 ,Starlink-3050 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3051 ,Starlink-3051 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3052 ,Starlink-3052 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3053 ,Starlink-3053 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3054 ,Starlink-3054 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3055 ,Starlink-3055 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3056 ,Starlink-3056 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3057 ,Starlink-3057 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3058 ,Starlink-3058 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3059 ,Starlink-3059 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3060 ,Starlink-3060 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3068 ,Starlink-3068 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3069 ,Starlink-3069 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3071 ,Starlink-3071 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3072 ,Starlink-3072 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3073 ,Starlink-3073 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3074 ,Starlink-3074 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3075 ,Starlink-3075 ,USA,Commercial,Communications,493,2021-11-13
Starlink-3077 ,Starlink-3077 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3078 ,Starlink-3078 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3079 ,Starlink-3079 ,USA,Commercial,Communications,352,2021-11-13
Starlink-3080 ,Starlink-3080 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3081 ,Starlink-3081 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3082 ,Starlink-3082 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3083 ,Starlink-3083 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3084 ,Starlink-3084 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3085 ,Starlink-3085 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3086 ,Starlink-3086 ,USA,Commercial,Communications,575,2021-09-13
Starlink-3087 ,Starlink-3087 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3088 ,Starlink-3088 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3089 ,Starlink-3089 ,USA,Commercial,Communications,362,2021-09-13
Starlink-3090 ,Starlink-3090 ,USA,Commercial,Communications,575,2021-09-13
